x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
19.0955,63.0553,0.0000,1.5675,100.0000,0,0,0,0,0
19.0988,64.0553,0.0000,1.5675,100.0000,0,0,0,0,0
19.1020,65.0553,0.0000,1.5675,100.0000,0,0,0,0,0
19.1053,66.0554,0.0000,1.5675,100.0000,0,0,0,0,0
19.1086,67.0555,0.0000,1.5675,100.0000,0,0,0,0,0
19.1118,68.0557,0.0000,1.5676,100.0000,0,0,0,0,0
19.1151,69.0558,0.0000,1.5676,100.0000,0,0,0,0,0
19.1183,70.0559,0.0000,1.5676,100.0000,0,0,0,0,0
19.1215,71.0559,0.0000,1.5676,100.0000,0,0,0,0,0
19.1247,72.0559,0.0000,1.5676,100.0000,0,0,0,0,0
19.1278,73.0559,0.0000,1.5677,100.0000,0,0,0,0,0
19.1309,74.0559,0.0000,1.5677,100.0000,0,0,0,0,0
19.1340,75.0559,0.0000,1.5677,100.0000,0,0,0,0,0
19.1371,76.0558,0.0000,1.5678,100.0000,0,0,0,0,0
19.1401,77.0557,0.0000,1.5678,100.0000,0,0,0,0,0
19.1431,78.0557,0.0000,1.5678,100.0000,0,0,0,0,0
19.1460,79.0557,0.0000,1.5679,100.0000,0,0,0,0,0
19.1489,80.0557,0.0000,1.5680,100.0000,0,0,0,0,0
19.1517,81.0559,0.0000,1.5680,100.0000,0,0,0,0,0
19.1544,82.0561,0.0000,1.5681,100.0000,0,0,0,0,0
19.1571,83.0564,0.0000,1.5682,100.0000,0,0,0,0,0
19.1597,84.0567,0.0000,1.5683,100.0000,0,0,0,0,0
19.1622,85.0570,0.0000,1.5683,100.0000,0,0,0,0,0
19.1646,86.0575,0.0000,1.5685,100.0000,0,0,0,0,0
19.1669,87.0566,0.0000,1.5686,100.0000,0,0,0,0,0
19.1691,88.0596,0.0000,1.5687,100.0000,0,0,0,0,0
19.1711,89.0523,0.0000,1.5689,100.0000,0,0,0,0,0
19.1729,90.0549,0.0000,1.5690,100.0000,0,0,0,0,0
19.1746,91.0552,0.0000,1.5693,100.0000,0,0,0,0,0
19.1760,92.0555,0.0000,1.5695,100.0000,0,0,0,0,0
19.1772,93.0559,0.0000,1.5698,100.0000,0,0,0,0,0
19.1781,94.0559,0.0000,1.5701,100.0000,0,0,0,0,0
19.1786,95.0558,0.0000,1.5704,100.0000,0,0,0,0,0
19.1789,96.0553,0.0000,1.5707,100.0000,0,0,0,0,0
19.1788,97.0548,0.0000,1.5711,100.0000,0,0,0,0,0
19.1783,98.0543,0.0000,1.5714,100.0000,0,0,0,0,0
19.1775,99.0539,0.0000,1.5718,100.0000,0,0,0,0,0
19.1764,100.0538,0.0000,1.5721,100.0000,0,0,0,0,0
19.1749,101.0537,0.0000,1.5724,100.0000,0,0,0,0,0
19.1731,102.0537,0.0000,1.5727,100.0000,0,0,0,0,0
19.1710,103.0536,0.0000,1.5730,100.0000,0,0,0,0,0
19.1687,104.0531,0.0000,1.5733,100.0000,0,0,0,0,0
19.1661,105.0522,0.0000,1.5735,100.0000,0,0,0,0,0
19.1633,106.0506,0.0000,1.5737,100.0000,0,0,0,0,0
19.1604,107.0511,0.0000,1.5738,100.0000,0,0,0,0,0
19.1573,108.0443,0.0000,1.5740,100.0000,0,0,0,0,0
19.1539,109.0610,0.0000,1.5741,100.0000,0,0,0,0,0
19.1505,110.0690,0.0000,1.5742,100.0000,0,0,0,0,0
19.1470,111.0594,0.0000,1.5743,100.0000,0,0,0,0,0
19.1435,112.0505,0.0000,1.5744,100.0000,0,0,0,0,0
19.1398,113.0533,0.0000,1.5745,100.0000,0,0,0,0,0
19.1361,114.0526,0.0000,1.5745,100.0000,0,0,0,0,0
19.1324,115.0531,0.0000,1.5745,100.0000,0,0,0,0,0
19.1287,116.0534,0.0000,1.5745,100.0000,0,0,0,0,0
19.1249,117.0537,0.0000,1.5745,100.0000,0,0,0,0,0
19.1212,118.0539,0.0000,1.5745,100.0000,0,0,0,0,0
19.1175,119.0541,0.0000,1.5745,100.0000,0,0,0,0,0
19.1139,120.0542,0.0000,1.5744,100.0000,0,0,0,0,0
19.1103,121.0542,0.0000,1.5744,100.0000,0,0,0,0,0
19.1067,122.0543,0.0000,1.5743,100.0000,0,0,0,0,0
19.1032,123.0543,0.0000,1.5743,100.0000,0,0,0,0,0
19.0998,124.0543,0.0000,1.5742,100.0000,0,0,0,0,0
19.0965,125.0544,0.0000,1.5741,100.0000,0,0,0,0,0
19.0932,126.0544,0.0000,1.5740,100.0000,0,0,0,0,0
19.0901,127.0545,0.0000,1.5739,100.0000,0,0,0,0,0
19.0870,128.0546,0.0000,1.5738,100.0000,0,0,0,0,0
19.0841,129.0548,0.0000,1.5737,100.0000,0,0,0,0,0
