x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
15.6614,134.5863,0.0000,-1.5734,15.0000,0,0,0,0,0
15.6588,133.5863,0.0000,-1.5734,15.0000,0,0,0,0,0
15.6562,132.5863,0.0000,-1.5734,15.0000,0,0,0,0,0
15.6536,131.5863,0.0000,-1.5734,15.0000,0,0,0,0,0
15.6509,130.5864,0.0000,-1.5735,15.0000,0,0,0,0,0
15.6482,129.5864,0.0000,-1.5735,15.0000,0,0,0,0,0
15.6455,128.5864,0.0000,-1.5735,15.0000,0,0,0,0,0
15.6427,127.5864,0.0000,-1.5736,15.0000,0,0,0,0,0
15.6399,126.5864,0.0000,-1.5736,15.0000,0,0,0,0,0
15.6370,125.5864,0.0000,-1.5737,15.0000,0,0,0,0,0
15.6341,124.5864,0.0000,-1.5738,15.0000,0,0,0,0,0
15.6311,123.5864,0.0000,-1.5738,15.0000,0,0,0,0,0
15.6281,122.5864,0.0000,-1.5739,15.0000,0,0,0,0,0
15.6249,121.5864,0.0000,-1.5740,15.0000,0,0,0,0,0
15.6217,120.5865,0.0000,-1.5741,15.0000,0,0,0,0,0
15.6183,119.5865,0.0000,-1.5742,15.0000,0,0,0,0,0
15.6149,118.5865,0.0000,-1.5743,15.0000,0,0,0,0,0
15.6114,117.5865,0.0000,-1.5744,15.0000,0,0,0,0,0
15.6077,116.5865,0.0000,-1.5745,15.0000,0,0,0,0,0
15.6040,115.5865,0.0000,-1.5746,15.0000,0,0,0,0,0
15.6001,114.5865,0.0000,-1.5747,15.0000,0,0,0,0,0
15.5961,113.5865,0.0000,-1.5749,15.0000,0,0,0,0,0
15.5919,112.5865,0.0000,-1.5750,15.0000,0,0,0,0,0
15.5876,111.5865,0.0000,-1.5752,15.0000,0,0,0,0,0
15.5832,110.5865,0.0000,-1.5753,15.0000,0,0,0,0,0
15.5786,109.5865,0.0000,-1.5755,15.0000,0,0,0,0,0
15.5739,108.5866,0.0000,-1.5756,15.0000,0,0,0,0,0
15.5690,107.5866,0.0000,-1.5758,15.0000,0,0,0,0,0
15.5639,106.5866,0.0000,-1.5759,15.0000,0,0,0,0,0
15.5588,105.5865,0.0000,-1.5760,15.0000,0,0,0,0,0
15.5535,104.5866,0.0000,-1.5761,15.0000,0,0,0,0,0
15.5481,103.5866,0.0000,-1.5762,15.0000,0,0,0,0,0
15.5426,102.5865,0.0000,-1.5763,15.0000,0,0,0,0,0
15.5371,101.5865,0.0000,-1.5763,15.0000,0,0,0,0,0
15.5315,100.5864,0.0000,-1.5764,15.0000,0,0,0,0,0
15.5260,99.5863,0.0000,-1.5764,15.0000,0,0,0,0,0
15.5204,98.5863,0.0000,-1.5763,15.0000,0,0,0,0,0
15.5149,97.5862,0.0000,-1.5763,15.0000,0,0,0,0,0
15.5094,96.5861,0.0000,-1.5763,15.0000,0,0,0,0,0
15.5039,95.5861,0.0000,-1.5762,15.0000,0,0,0,0,0
15.4986,94.5860,0.0000,-1.5761,15.0000,0,0,0,0,0
15.4934,93.5859,0.0000,-1.5759,15.0000,0,0,0,0,0
15.4883,92.5859,0.0000,-1.5758,15.0000,0,0,0,0,0
15.4834,91.5858,0.0000,-1.5756,15.0000,0,0,0,0,0
15.4787,90.5857,0.0000,-1.5754,15.0000,0,0,0,0,0
15.4742,89.5856,0.0000,-1.5752,15.0000,0,0,0,0,0
15.4699,88.5856,0.0000,-1.5749,15.0000,0,0,0,0,0
15.4659,87.5855,0.0000,-1.5746,15.0000,0,0,0,0,0
15.4622,86.5855,0.0000,-1.5743,15.0000,0,0,0,0,0
15.4589,85.5855,0.0000,-1.5739,15.0000,0,0,0,0,0
15.4560,84.5856,0.0000,-1.5735,15.0000,0,0,0,0,0
15.4535,83.5858,0.0000,-1.5730,15.0000,0,0,0,0,0
15.4515,82.5862,0.0000,-1.5725,15.0000,0,0,0,0,0
15.4501,81.5972,0.0000,-1.5719,15.0000,0,0,0,0,0
15.4492,80.5989,0.0000,-1.5714,15.0000,0,0,0,0,0
15.4489,79.5759,0.0000,-1.5709,15.0000,0,0,0,0,0
15.4491,78.5852,0.0000,-1.5704,15.0000,0,0,0,0,0
15.4498,77.5848,0.0000,-1.5699,15.0000,0,0,0,0,0
15.4508,76.5859,0.0000,-1.5696,15.0000,0,0,0,0,0
15.4522,75.5841,0.0000,-1.5693,15.0000,0,0,0,0,0
15.4538,74.5828,0.0000,-1.5691,15.0000,0,0,0,0,0
15.4555,73.5823,0.0000,-1.5690,15.0000,0,0,0,0,0
15.4573,72.5820,0.0000,-1.5691,15.0000,0,0,0,0,0
15.4590,71.5819,0.0000,-1.5693,15.0000,0,0,0,0,0
15.4604,70.5818,0.0000,-1.5697,15.0000,0,0,0,0,0
15.4613,69.5818,0.0000,-1.5703,15.0000,0,0,0,0,0
15.4614,68.5820,0.0000,-1.5712,15.0000,0,0,0,0,0
15.4604,67.5835,0.0000,-1.5726,15.0000,0,0,0,0,0
15.4578,66.5864,0.0000,-1.5746,15.0000,0,0,0,0,0
15.4527,65.5744,0.0000,-1.5773,15.0000,0,0,0,0,0
15.4449,64.6142,0.0000,-1.5816,15.0000,0,0,0,0,0
15.4316,63.6178,0.0000,-1.5879,15.0000,0,0,0,0,0
15.4100,62.5740,0.0000,-1.5962,15.0000,0,0,0,0,0
15.3793,61.5640,0.0000,-1.6076,15.0000,0,0,0,0,0
15.3364,60.5765,0.0000,-1.6216,15.0000,0,0,0,0,0
15.2786,59.5835,0.0000,-1.6361,15.0000,0,0,0,0,0
15.2068,58.5933,0.0000,-1.6470,15.0000,0,0,0,0,0
15.1270,57.5978,0.0000,-1.6506,15.0000,0,0,0,0,0
15.0472,56.5985,0.0000,-1.6484,15.0000,0,0,0,0,0
14.9724,55.6092,0.0000,-1.6442,15.0000,0,0,0,0,0
14.9008,54.6091,0.0000,-1.6402,15.0000,0,0,0,0,0
14.8335,53.6111,0.0000,-1.6361,15.0000,0,0,0,0,0
14.7702,52.6116,0.0000,-1.6319,15.0000,0,0,0,0,0
14.7112,51.6120,0.0000,-1.6274,15.0000,0,0,0,0,0
14.6569,50.6125,0.0000,-1.6225,15.0000,0,0,0,0,0
14.6077,49.6129,0.0000,-1.6171,15.0000,0,0,0,0,0
14.5643,48.6138,0.0000,-1.6109,15.0000,0,0,0,0,0
14.5275,47.6146,0.0000,-1.6044,15.0000,0,0,0,0,0
14.4971,46.6150,0.0000,-1.5989,15.0000,0,0,0,0,0
14.4714,45.6155,0.0000,-1.5952,15.0000,0,0,0,0,0
14.4484,44.6158,0.0000,-1.5936,15.0000,0,0,0,0,0
14.4258,43.6162,0.0000,-1.5943,15.0000,0,0,0,0,0
14.4014,42.6165,0.0000,-1.5973,15.0000,0,0,0,0,0
14.3729,41.6169,0.0000,-1.6025,15.0000,0,0,0,0,0
14.3380,40.6175,0.0000,-1.6100,15.0000,0,0,0,0,0
14.2946,39.6185,0.0000,-1.6194,15.0000,0,0,0,0,0
14.2410,38.6224,0.0000,-1.6297,15.0000,0,0,0,0,0
14.1768,37.6235,0.0000,-1.6393,15.0000,0,0,0,0,0
14.1037,36.6218,0.0000,-1.6473,15.0000,0,0,0,0,0
14.0236,35.6238,0.0000,-1.6540,15.0000,0,0,0,0,0
13.9371,34.6241,0.0000,-1.6595,15.0000,0,0,0,0,0
13.8461,33.6283,0.0000,-1.6639,15.0000,0,0,0,0,0
13.7502,32.6218,0.0000,-1.6668,15.0000,0,0,0,0,0
13.6564,31.6581,0.0000,-1.6673,15.0000,0,0,0,0,0
13.5622,30.6804,0.0000,-1.6639,15.0000,0,0,0,0,0
13.4653,29.6121,0.0000,-1.6659,15.0000,0,0,0,0,0
13.3677,28.6409,0.0000,-1.7184,15.0000,0,0,0,0,0
13.1792,27.6877,0.0000,-1.8266,15.0000,0,0,0,0,0
12.8666,26.7245,0.0000,-1.9429,15.0000,0,0,0,0,0
12.4486,25.8159,0.0000,-2.0303,15.0000,0,0,0,0,0
11.9847,24.9426,0.0000,-2.0319,15.0000,0,0,0,0,0
11.5603,24.0279,0.0000,-1.9502,15.0000,0,0,0,0,0
11.2416,23.0786,0.0000,-1.8341,15.0000,0,0,0,0,0
11.0408,22.1003,0.0000,-1.7378,15.0000,0,0,0,0,0
10.9096,21.1090,0.0000,-1.6873,15.0000,0,0,0,0,0
10.8081,20.1118,0.0000,-1.6737,15.0000,0,0,0,0,0
10.7043,19.1205,0.0000,-1.6983,15.0000,0,0,0,0,0
10.5539,18.1296,0.0000,-1.7645,15.0000,0,0,0,0,0
10.3187,17.1549,0.0000,-1.8660,15.0000,0,0,0,0,0
9.9736,16.2208,0.0000,-1.9842,15.0000,0,0,0,0,0
9.5188,15.3317,0.0000,-2.0918,15.0000,0,0,0,0,0
8.9786,14.4872,0.0000,-2.1842,15.0000,0,0,0,0,0
8.3649,13.6926,0.0000,-2.2820,15.0000,0,0,0,0,0
7.6789,12.9786,0.0000,-2.4367,15.0000,0,0,0,0,0
6.8432,12.3982,0.0000,-2.6219,15.0000,0,0,0,0,0
6.0043,12.0205,0.0000,-2.7186,15.0000,0,0,0,0,0
