x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
21.4340,-45.4318,-0.0000,1.5896,60.0000,0,0,0,0,0
21.4156,-44.4321,-0.0000,1.5888,60.0000,0,0,0,0,0
21.3981,-43.4324,-0.0000,1.5878,60.0000,0,0,0,0,0
21.3816,-42.4327,-0.0000,1.5866,60.0000,0,0,0,0,0
21.3664,-41.4329,-0.0000,1.5853,60.0000,0,0,0,0,0
21.3526,-40.4331,-0.0000,1.5838,60.0000,0,0,0,0,0
21.3403,-39.4332,-0.0000,1.5822,60.0000,0,0,0,0,0
21.3297,-38.4329,-0.0000,1.5805,60.0000,0,0,0,0,0
21.3209,-37.4316,-0.0000,1.5787,60.0000,0,0,0,0,0
21.3139,-36.4321,0.0000,1.5768,60.0000,0,0,0,0,0
21.3089,-35.4332,0.0000,1.5748,60.0000,0,0,0,0,0
21.3059,-34.4326,0.0000,1.5727,60.0000,0,0,0,0,0
21.3051,-33.4328,0.0000,1.5704,60.0000,0,0,0,0,0
21.3067,-32.4327,0.0000,1.5680,60.0000,0,0,0,0,0
21.3108,-31.4327,0.0000,1.5654,60.0000,0,0,0,0,0
21.3175,-30.4326,0.0000,1.5626,60.0000,0,0,0,0,0
21.3271,-29.4326,0.0000,1.5597,60.0000,0,0,0,0,0
21.3397,-28.4326,0.0000,1.5566,60.0000,0,0,0,0,0
21.3554,-27.4327,0.0000,1.5533,60.0000,0,0,0,0,0
21.3747,-26.4329,0.0000,1.5497,60.0000,0,0,0,0,0
21.3976,-25.4332,0.0000,1.5459,60.0000,0,0,0,0,0
21.4244,-24.4335,0.0000,1.5418,60.0000,0,0,0,0,0
21.4556,-23.4313,-0.0000,1.5375,60.0000,0,0,0,0,0
21.4909,-22.4394,-0.0000,1.5333,60.0000,0,0,0,0,0
21.5305,-21.4357,-0.0000,1.5298,60.0000,0,0,0,0,0
21.5731,-20.4374,-0.0000,1.5270,60.0000,0,0,0,0,0
21.6180,-19.4385,-0.0000,1.5250,60.0000,0,0,0,0,0
21.6645,-18.4416,-0.0000,1.5238,60.0000,0,0,0,0,0
21.7118,-17.4441,-0.0000,1.5232,60.0000,0,0,0,0,0
21.7595,-16.4461,-0.0000,1.5231,60.0000,0,0,0,0,0
21.8071,-15.4478,-0.0000,1.5234,60.0000,0,0,0,0,0
21.8541,-14.4496,-0.0000,1.5240,60.0000,0,0,0,0,0
21.9005,-13.4514,-0.0000,1.5249,60.0000,0,0,0,0,0
21.9460,-12.4525,-0.0000,1.5258,60.0000,0,0,0,0,0
21.9905,-11.4521,-0.0000,1.5268,60.0000,0,0,0,0,0
22.0342,-10.4481,-0.0000,1.5278,60.0000,0,0,0,0,0
22.0764,-9.4533,-0.0000,1.5289,60.0000,0,0,0,0,0
22.1175,-8.4616,-0.0000,1.5300,60.0000,0,0,0,0,0
22.1592,-7.4269,-0.0000,1.5310,60.0000,0,0,0,0,0
22.1977,-6.4474,0.0000,1.5320,60.0000,0,0,0,0,0
22.2357,-5.4564,0.0000,1.5329,60.0000,0,0,0,0,0
22.2733,-4.4516,0.0000,1.5337,60.0000,0,0,0,0,0
22.3099,-3.4541,0.0000,1.5345,60.0000,0,0,0,0,0
22.3459,-2.4539,0.0000,1.5351,60.0000,0,0,0,0,0
22.3812,-1.4543,0.0000,1.5358,60.0000,0,0,0,0,0
22.4160,-0.4545,0.0000,1.5363,60.0000,0,0,0,0,0
22.4502,0.5448,0.0000,1.5369,60.0000,0,0,0,0,0
22.4838,1.5440,0.0000,1.5374,60.0000,0,0,0,0,0
22.5169,2.5434,0.0000,1.5379,60.0000,0,0,0,0,0
22.5495,3.5430,0.0000,1.5384,60.0000,0,0,0,0,0
22.5816,4.5427,0.0000,1.5389,60.0000,0,0,0,0,0
22.6132,5.5425,0.0000,1.5394,60.0000,0,0,0,0,0
22.6444,6.5424,0.0000,1.5399,60.0000,0,0,0,0,0
22.6750,7.5422,0.0000,1.5404,60.0000,0,0,0,0,0
22.7051,8.5419,0.0000,1.5409,60.0000,0,0,0,0,0
22.7347,9.5415,0.0000,1.5415,60.0000,0,0,0,0,0
22.7638,10.5410,0.0000,1.5420,60.0000,0,0,0,0,0
22.7923,11.5403,0.0000,1.5426,60.0000,0,0,0,0,0
22.8202,12.5396,0.0000,1.5432,60.0000,0,0,0,0,0
22.8475,13.5390,0.0000,1.5439,60.0000,0,0,0,0,0
22.8741,14.5387,0.0000,1.5446,60.0000,0,0,0,0,0
22.8999,15.5387,0.0000,1.5454,60.0000,0,0,0,0,0
22.9249,16.5392,0.0000,1.5463,60.0000,0,0,0,0,0
22.9490,17.5408,0.0000,1.5473,60.0000,0,0,0,0,0
22.9719,18.5388,0.0000,1.5486,60.0000,0,0,0,0,0
22.9938,19.5585,0.0000,1.5500,60.0000,0,0,0,0,0
23.0126,20.4981,0.0000,1.5519,60.0000,0,0,0,0,0
23.0296,21.4529,-0.0000,1.5545,60.0000,0,0,0,0,0
23.0459,22.5436,-0.0000,1.5577,60.0000,0,0,0,0,0
23.0571,23.5581,-0.0000,1.5623,60.0000,0,0,0,0,0
23.0633,24.5865,-0.0000,1.5686,60.0000,0,0,0,0,0
23.0615,25.5515,-0.0000,1.5784,60.0000,0,0,0,0,0
23.0484,26.5417,-0.0000,1.5942,60.0000,0,0,0,0,0
23.0146,27.5511,-0.0000,1.6214,60.0000,0,0,0,0,0
22.9474,28.5367,-0.0000,1.6555,60.0000,0,0,0,0,0
22.8477,29.5170,-0.0000,1.6678,60.0000,0,0,0,0,0
22.7549,30.5160,0.0000,1.6562,60.0000,0,0,0,0,0
22.6769,31.5128,0.0000,1.6441,60.0000,0,0,0,0,0
22.6081,32.5134,0.0000,1.6355,60.0000,0,0,0,0,0
22.5471,33.5145,0.0000,1.6282,60.0000,0,0,0,0,0
22.4931,34.5156,0.0000,1.6213,60.0000,0,0,0,0,0
22.4460,35.5147,0.0000,1.6142,60.0000,0,0,0,0,0
22.4064,36.5137,-0.0000,1.6064,60.0000,0,0,0,0,0
22.3748,37.5145,-0.0000,1.5984,60.0000,0,0,0,0,0
22.3512,38.5154,-0.0000,1.5907,60.0000,0,0,0,0,0
22.3350,39.5152,-0.0000,1.5837,60.0000,0,0,0,0,0
22.3254,40.5144,-0.0000,1.5775,60.0000,0,0,0,0,0
22.3215,41.5154,-0.0000,1.5726,60.0000,0,0,0,0,0
22.3219,42.5113,-0.0000,1.5692,60.0000,0,0,0,0,0
22.3248,43.5115,0.0000,1.5685,60.0000,0,0,0,0,0
22.3265,44.5135,0.0000,1.5722,60.0000,0,0,0,0,0
22.3220,45.5138,0.0000,1.5815,60.0000,0,0,0,0,0
22.3052,46.5133,0.0000,1.5970,60.0000,0,0,0,0,0
22.2696,47.5122,0.0000,1.6193,60.0000,0,0,0,0,0
22.2082,48.5099,-0.0000,1.6483,60.0000,0,0,0,0,0
22.1147,49.5057,-0.0000,1.6832,60.0000,0,0,0,0,0
21.9840,50.4970,-0.0000,1.7224,60.0000,0,0,0,0,0
21.8128,51.4821,-0.0000,1.7647,60.0000,0,0,0,0,0
21.5986,52.4592,-0.0000,1.8088,60.0000,0,0,0,0,0
21.3411,53.4263,-0.0000,1.8510,60.0000,0,0,0,0,0
21.0460,54.3797,0.0000,1.8805,60.0000,0,0,0,0,0
20.7319,55.3296,0.0000,1.8888,60.0000,0,0,0,0,0
20.4206,56.2796,0.0000,1.8767,60.0000,0,0,0,0,0
20.1297,57.2363,0.0000,1.8471,60.0000,0,0,0,0,0
19.8748,58.2049,0.0000,1.8024,60.0000,0,0,0,0,0
19.6703,59.1841,-0.0000,1.7475,60.0000,0,0,0,0,0
19.5240,60.1695,-0.0000,1.6938,60.0000,0,0,0,0,0
19.4253,61.1660,-0.0000,1.6506,60.0000,0,0,0,0,0
19.3647,62.1624,-0.0000,1.6177,60.0000,0,0,0,0,0
19.3315,63.1628,-0.0000,1.5944,60.0000,0,0,0,0,0
19.3175,64.1605,-0.0000,1.5786,60.0000,0,0,0,0,0
19.3159,65.1667,-0.0000,1.5693,60.0000,0,0,0,0,0
19.3206,66.1680,-0.0000,1.5650,60.0000,0,0,0,0,0
19.3275,67.1610,0.0000,1.5637,60.0000,0,0,0,0,0
19.3348,68.1636,0.0000,1.5637,60.0000,0,0,0,0,0
19.3417,69.1613,0.0000,1.5644,60.0000,0,0,0,0,0
19.3475,70.1614,0.0000,1.5658,60.0000,0,0,0,0,0
19.3518,71.1610,0.0000,1.5676,60.0000,0,0,0,0,0
19.3540,72.1612,0.0000,1.5698,60.0000,0,0,0,0,0
19.3538,73.1608,0.0000,1.5723,60.0000,0,0,0,0,0
19.3510,74.1634,0.0000,1.5750,60.0000,0,0,0,0,0
19.3454,75.1663,0.0000,1.5779,60.0000,0,0,0,0,0
19.3368,76.1662,-0.0000,1.5807,60.0000,0,0,0,0,0
19.3257,77.1648,-0.0000,1.5830,60.0000,0,0,0,0,0
19.3125,78.1637,-0.0000,1.5846,60.0000,0,0,0,0,0
19.2980,79.1644,-0.0000,1.5858,60.0000,0,0,0,0,0
19.2826,80.1647,-0.0000,1.5864,60.0000,0,0,0,0,0
19.2667,81.1655,-0.0000,1.5865,60.0000,0,0,0,0,0
19.2510,82.1663,-0.0000,1.5862,60.0000,0,0,0,0,0
19.2359,83.1672,-0.0000,1.5853,60.0000,0,0,0,0,0
19.2221,84.1678,-0.0000,1.5836,60.0000,0,0,0,0,0
19.2102,85.1691,-0.0000,1.5811,60.0000,0,0,0,0,0
19.2015,86.1655,-0.0000,1.5772,60.0000,0,0,0,0,0
19.1974,87.1614,0.0000,1.5718,60.0000,0,0,0,0,0
19.1996,88.1644,0.0000,1.5656,60.0000,0,0,0,0,0
19.2078,89.1641,0.0000,1.5603,60.0000,0,0,0,0,0
19.2206,90.1630,0.0000,1.5571,60.0000,0,0,0,0,0
19.2352,91.1586,0.0000,1.5567,60.0000,0,0,0,0,0
19.2487,92.1560,0.0000,1.5587,60.0000,0,0,0,0,0
19.2593,93.1469,0.0000,1.5623,60.0000,0,0,0,0,0
19.2658,94.1626,0.0000,1.5664,60.0000,0,0,0,0,0
19.2682,95.1718,0.0000,1.5705,60.0000,0,0,0,0,0
19.2665,96.1645,0.0000,1.5740,60.0000,0,0,0,0,0
19.2619,97.1582,0.0000,1.5765,60.0000,0,0,0,0,0
19.2551,98.1603,0.0000,1.5783,60.0000,0,0,0,0,0
19.2468,99.1603,0.0000,1.5797,60.0000,0,0,0,0,0
19.2373,100.1613,0.0000,1.5806,60.0000,0,0,0,0,0
19.2271,101.1621,0.0000,1.5813,60.0000,0,0,0,0,0
19.2162,102.1628,0.0000,1.5818,60.0000,0,0,0,0,0
19.2050,103.1632,0.0000,1.5821,60.0000,0,0,0,0,0
19.1937,104.1632,0.0000,1.5822,60.0000,0,0,0,0,0
19.1823,105.1633,0.0000,1.5820,60.0000,0,0,0,0,0
19.1712,106.1639,0.0000,1.5817,60.0000,0,0,0,0,0
19.1604,107.1640,0.0000,1.5812,60.0000,0,0,0,0,0
19.1504,108.1660,0.0000,1.5804,60.0000,0,0,0,0,0
19.1414,109.1609,0.0000,1.5791,60.0000,0,0,0,0,0
19.1337,110.1592,-0.0000,1.5775,60.0000,0,0,0,0,0
19.1279,111.1655,-0.0000,1.5756,60.0000,0,0,0,0,0
19.1240,112.1672,-0.0000,1.5736,60.0000,0,0,0,0,0
19.1223,113.1652,-0.0000,1.5715,60.0000,0,0,0,0,0
19.1226,114.1639,-0.0000,1.5695,60.0000,0,0,0,0,0
19.1248,115.1629,-0.0000,1.5678,60.0000,0,0,0,0,0
19.1287,116.1625,-0.0000,1.5664,60.0000,0,0,0,0,0
19.1337,117.1615,-0.0000,1.5654,60.0000,0,0,0,0,0
19.1393,118.1599,-0.0000,1.5650,60.0000,0,0,0,0,0
19.1453,119.1613,-0.0000,1.5649,60.0000,0,0,0,0,0
19.1512,120.1653,-0.0000,1.5651,60.0000,0,0,0,0,0
19.1568,121.1666,0.0000,1.5655,60.0000,0,0,0,0,0
19.1619,122.1555,0.0000,1.5659,60.0000,0,0,0,0,0
19.1666,123.1598,0.0000,1.5663,60.0000,0,0,0,0,0
19.1710,124.1588,0.0000,1.5666,60.0000,0,0,0,0,0
19.1750,125.1595,0.0000,1.5670,60.0000,0,0,0,0,0
19.1786,126.1599,0.0000,1.5673,60.0000,0,0,0,0,0
19.1819,127.1601,0.0000,1.5677,60.0000,0,0,0,0,0
19.1849,128.1603,0.0000,1.5680,60.0000,0,0,0,0,0
19.1875,129.1604,0.0000,1.5683,60.0000,0,0,0,0,0
19.1898,130.1604,0.0000,1.5687,60.0000,0,0,0,0,0
19.1918,131.1605,0.0000,1.5690,60.0000,0,0,0,0,0
19.1934,132.1607,0.0000,1.5693,60.0000,0,0,0,0,0
